,ID,RESTAURANT NAME,INSPECTION YEAR,NUMBER OF CRITICAL VIOLATIONS,ADDRESS
152,40366938,LULU'S COFFEE SHOP,2018,2.0,1191 CASTLE HILL AVENUE BRONX NY 10462
154,40366961,MITCHELL'S RESTAURANT,2018,1.0,617A VANDERBILT AVENUE BROOKLYN NY 11238
155,40366993,FINNEGAN'S WAKE PUB,2018,1.0,1361 FIRST AVENUE MANHATTAN NY 10021
157,40367005,DA VINCI PIZZA,2018,1.0,6514 18 AVENUE BROOKLYN NY 11204
158,40367161,MARINA DELRAY,2018,1.0,2894 SCHURZ AVE BRONX NY 10465
159,40367164,NEW FLORIDIAN DINER,2018,1.0,2301 FLATBUSH AVENUE BROOKLYN NY 11234
160,40367179,TWINS PUB,2018,1.0,421 9 AVENUE MANHATTAN NY 10001
161,40367183,NARROWS COFFEE SHOP,2018,1.0,10001 4 AVENUE BROOKLYN NY 11209
163,40367232,O'HANLON'S PUB,2018,1.0,2257 31 STREET QUEENS NY 11105
165,40367241,JG MELON RESTAURANT,2018,3.0,1291 3 AVENUE MANHATTAN NY 10021
167,40367278,JACK'S PIZZA & PASTA,2018,2.0,21249 26 AVENUE QUEENS NY 11360
169,40367338,TAP ROOM,2018,2.0,180 CENTRAL PARK SOUTH MANHATTAN NY 10019
171,40367365,FLAME RESTAURANT COFFEE HOUSE,2018,2.0,893 9 AVENUE MANHATTAN NY 10019
172,40367373,JACKSON HOLE,2018,1.0,232 EAST   64 STREET MANHATTAN NY 10065
173,40367377,ZUM STAMMTISCH,2018,1.0,6946 MYRTLE AVENUE QUEENS NY 11385
174,40367442,BUDDY'S WONDER BAR,2018,1.0,17 HARRISON AVENUE STATEN ISLAND NY 10302
175,40367481,THE ASSEMBLY BAR,2018,2.0,7302 COOPER AVENUE QUEENS NY 11385
176,40367534,MR BROADWAY KOSHER RESTAURANT,2018,1.0,1372 BROADWAY MANHATTAN NY 10018
