,index,ADDRESS,LOCATION,POINT
49,71,8318 PARSONS BOULEVARD QUEENS NY 11432,"Parsons Boulevard, Jamaica, Queens, Queens County, NYC, New York, 11432, USA","(40.706515, -73.8020928, 0.0)"
50,72,32 WITHERS ST BROOKLYN NY 11211,"Bamonte's, 32, Withers Street, Williamsburg, Kings County, NYC, New York, 11211, USA","(40.7166443, -73.9512196, 0.0)"
51,74,960 MADISON AVENUE MANHATTAN NY 10021,"3 Guys Restaurant, 960, Madison Avenue, Upper East Side, Manhattan, Manhattan Community Board 8, New York County, NYC, New York, 10021, USA","(40.7739694, -73.9636633, 0.0)"
52,75,16 GRAMERCY PARK SOUTH MANHATTAN NY 10003,"16, Gramercy Park South, Gramercy, Manhattan, Manhattan Community Board 6, New York County, NYC, New York, 10003, USA","(40.7377232, -73.9865925, 0.0)"
53,76,24904 HORACE HARDING BOULEVARD QUEENS NY 11362,"Horace Harding Boulevard, University Gardens, Nassau County, NYC, New York, 11020, USA","(40.768153, -73.721952, 0.0)"
54,77,16011 WILLETS POINT BOULEVARD QUEENS NY 11357,"Willets Point Boulevard, Beechhurst, Queens, Queens County, NYC, New York, 11357, USA","(40.779726, -73.803514, 0.0)"
55,78,25810 HILLSIDE AVENUE QUEENS NY 11004,"Hillside Avenue, Glen Oaks, Queens County, NYC, New York, 11040, USA","(40.7379997, -73.7052196, 0.0)"
56,79,1701 FOSTER AVENUE BROOKLYN NY 11230,"1701, Foster Avenue, Kensington, BK, Kings County, NYC, New York, 11226, USA","(40.6351456, -73.9611724, 0.0)"
57,80,25509 NORTHERN BOULEVARD QUEENS NY 11362,"Northern Boulevard, Douglaston, Queens, Queens County, NYC, New York, 11362, USA","(40.7636245, -73.7507934, 0.0)"
58,81,500 GRAND STREET MANHATTAN NY 10002,"East Side Glatt, 500, Grand Street, Lower East Side, Manhattan, Manhattan Community Board 3, New York County, NYC, New York, 10002, USA","(40.714915, -73.9826397, 0.0)"
59,82,19652 NORTHERN BLVD QUEENS NY 11358,"Northern Boulevard, Murray Hill, Queens, Queens County, NYC, New York, 11362, USA","(40.7577494, -73.7943852, 0.0)"
60,83,3660 EAST TREMONT AVENUE BRONX NY 10465,"3660, East Tremont Avenue, Schuylerville, The Bronx, Bronx County, NYC, New York, 10465, USA","(40.82758905, -73.8236384036476, 0.0)"
61,84,1133 LEXINGTON AVENUE MANHATTAN NY 10075,"1133, Lexington Avenue, Upper East Side, Manhattan, Manhattan Community Board 8, New York County, NYC, New York, 10075, USA","(40.7745571, -73.9588889473031, 0.0)"
62,86,15405 ROCKAWAY BOULEVARD QUEENS NY 11434,"Rockaway Boulevard, Rochdale Village, Queens County, NYC, New York, 11434, USA","(40.6688779, -73.7819417, 0.0)"
63,87,370 PARK AVENUE MANHATTAN NY 10022,"Racquet and Tennis Club, 370, Park Avenue, Midtown East, Manhattan, Manhattan Community Board 5, New York County, NYC, New York, 10022, USA","(40.7589209, -73.9732006086395, 0.0)"
64,89,3281 RICHMOND AVENUE STATEN ISLAND NY 10312,"Richmond Avenue, Greenridge, Staten Island, Richmond County, NYC, New York, 10312, USA","(40.5728092, -74.1700944, 0.0)"
65,92,5655 BROADWAY BRONX NY 10463,"5655, Broadway, Kingsbridge, The Bronx, Bronx County, NYC, New York, 10463, USA","(40.8803571, -73.9040116, 0.0)"
66,95,7269 KISSENA BOULEVARD QUEENS NY 11367,"Kissena Boulevard, Queens, Queens County, NYC, New York, 11367, USA","(40.7287631, -73.8152545, 0.0)"
67,96,9402 SUTPHIN BOULEVARD QUEENS NY 11435,"Sutphin Boulevard, Jamaica, Queens County, NYC, New York, 11434, USA","(40.698408, -73.806466, 0.0)"
68,98,9615 LIBERTY AVENUE QUEENS NY 11417,"Liberty Avenue, Jamaica, Queens County, NYC, New York, 11435, USA","(40.6920213, -73.8103611, 0.0)"
69,101,500 FOREST AVENUE STATEN ISLAND NY 10310,"500, Forest Avenue, West New Brighton, Todt Hill, Richmond County, NYC, New York, 10310, USA","(40.63025985, -74.106920169236, 0.0)"
70,103,345 COURT STREET BROOKLYN NY 11231,"Marco Polo Ristorante, 345, Court Street, Carroll Gardens, Kings County, NYC, New York, 11231, USA","(40.6822387, -73.9957888, 0.0)"
71,105,703 MINNIEFORD AVE BRONX NY 10464,"703, Minnieford Avenue, City Island, Bronx County, NYC, New York, 10464, USA","(40.8569208, -73.7905705818182, 0.0)"
72,106,749 LYDIG AVENUE BRONX NY 10462,"John & Joe's Pizzeria, 749, Lydig Avenue, Bronxdale, The Bronx, Bronx County, NYC, New York, 10462, USA","(40.854565, -73.8658984, 0.0)"
73,107,645 ROSSVILLE AVENUE STATEN ISLAND NY 10309,"Islander Taste Chinese Restaurant, 645, Rossville Avenue, Rossville, Richmond County, NYC, New York, 10309, USA","(40.5427957, -74.2077287, 0.0)"
74,108,7002 COOPER AVENUE QUEENS NY 11385,"Cooper Avenue, Glendale, Queens County, NYC, New York, 11385, USA","(40.7060227, -73.8761782, 0.0)"
75,110,22813 MERRICK BOULEVARD QUEENS NY 11413,"Merrick Boulevard, Springfield Gardens, Queens County, NYC, New York, 11422, USA","(40.6786458, -73.7482529, 0.0)"
76,113,15367 HORACE HARDING EXPRESSWAY QUEENS NY 11367,"Horace Harding Expressway, Queens, Queens County, NYC, New York, 11367, USA","(40.7425416, -73.8369977, 0.0)"
77,114,2664 BROADWAY MANHATTAN NY 10025,"2664, Broadway, Manhattan Valley, Manhattan, Manhattan Community Board 7, New York County, NYC, New York, 10025, USA","(40.7979149, -73.9690849, 0.0)"
78,115,6121 FRESH POND ROAD QUEENS NY 11379,"Fresh Pond Rd, Queens County, NYC, New York, USA","(40.70657435, -73.8969623355457, 0.0)"
79,116,6967 GRAND AVENUE QUEENS NY 11378,"Grand Avenue, Maspeth, Queens County, NYC, New York, 11378, USA","(40.7227415, -73.901653, 0.0)"
80,117,97 MACDOUGAL STREET MANHATTAN NY 10012,"97, MacDougal Street, University Village, Greenwich Village, Manhattan, Manhattan Community Board 2, New York County, NYC, New York, 10012, USA","(40.72957275, -74.0010778984055, 0.0)"
81,118,120 CEDAR STREET MANHATTAN NY 10006,"Valley National Bank, 120, Cedar Street, Financial District, Manhattan, Manhattan Community Board 1, New York County, NYC, New York, 10006, USA","(40.708115, -74.0100575, 0.0)"
82,119,1064 MADISON AVENUE MANHATTAN NY 10028,"1064, Madison Avenue, Upper East Side, Manhattan, Manhattan Community Board 8, New York County, NYC, New York, 10028, USA","(40.777366, -73.9616538498499, 0.0)"
83,121,7402 METROPOLITAN AVENUE QUEENS NY 11379,"Metropolitan Avenue, Middle Village, Queens County, NYC, New York, 11379, USA","(40.7133425, -73.8696292, 0.0)"
84,122,147 BLEECKER STREET MANHATTAN NY 10012,"The Bitter End, 147, Bleecker Street, NoHo Historic District, NoHo, Manhattan, Manhattan Community Board 2, New York County, NYC, New York, 10012, USA","(40.7283337, -73.9992168, 0.0)"
85,124,73 ATLANTIC AVENUE BROOKLYN NY 11201,"73, Atlantic Avenue, Cobble Hill, Kings County, NYC, New York, 11201, USA","(40.6914648, -73.9978844950832, 0.0)"
86,125,6568 MYRTLE AVENUE QUEENS NY 11385,"Myrtle Avenue, Woodhaven, Queens County, NYC, New York, 11418, USA","(40.70297, -73.868243, 0.0)"
87,126,1320 SURF AVENUE BROOKLYN NY 11224,"1320, Surf Avenue, Coney Island, Kings County, NYC, New York, 11224, USA","(40.57531445, -73.9820184836836, 0.0)"
88,128,650 FOREST AVENUE STATEN ISLAND NY 10310,"650, Forest Avenue, West New Brighton, Todt Hill, Richmond County, NYC, New York, 10310, USA","(40.6296506, -74.110793, 0.0)"
89,131,11718 QUEENS BOULEVARD QUEENS NY 11375,"Queens Boulevard, Parkside, Queens County, NYC, New York, 11375, USA","(40.7263151, -73.8522248, 0.0)"
