,ID,RESTAURANT NAME,BOROUGH,BUILDING,STREET,ZIPCODE,INSPECTION YEAR,GRADE,NUMBER OF CRITICAL VIOLATIONS
23181,50065453,RITAS ICE,BROOKLYN,1317,E 17TH ST,11230,2018,0,2.0
23182,50065459,TOST,QUEENS,6010,KISSENA BLVD,11355,2018,0,1.0
23183,50065460,JADE HOUSE,MANHATTAN,2131,AMSTERDAM AVE,10032,2018,0,1.0
23184,50065460,JADE HOUSE,MANHATTAN,2131,AMSTERDAM AVE,10032,2019,0,3.0
23185,50065482,JUICES FOR LIFE,BRONX,1028,CASTLE HILL AVE,10472,2018,0,1.0
23186,50065483,SAVOR DANJI RESTAURANT,QUEENS,15428,NORTHERN BLVD,11354,2018,0,1.0
23187,50065488,LOS TACOS NO.1,MANHATTAN,229,W 43RD ST,10036,2018,0,1.0
23188,50065499,COTE KOREAN STEAKHOUSE,MANHATTAN,16,W 22ND ST,10010,2018,0,2.0
23189,50065499,COTE KOREAN STEAKHOUSE,MANHATTAN,16,W 22ND ST,10010,2019,0,1.0
23190,50065500,MOBAY JAMAICAN CUISINE,BRONX,4120A,WHITE PLAINS RD,10466,2018,0,2.5
23191,50065502,CREME AND COCOA CREMERY,BROOKLYN,1067,NOSTRAND AVE,11225,2018,0,2.0
23192,50065505,SAN AROY  THAI KITCHEN,QUEENS,2906,23RD AVE,11105,2018,0,1.0
23193,50065507,FU JU LAI RESTAURANT,BROOKLYN,5103,7TH AVE,11220,2018,0,2.5
23194,50065516,LIONI,BROOKLYN,445,ALBEE SQUARE WEST,11201,2019,0,3.0
23195,50065525,TOP CHOICE JAMAICAN RESTAURANT,BRONX,746,LYDIG AVE,10462,2018,0,1.0
23196,50065525,TOP CHOICE JAMAICAN RESTAURANT,BRONX,746,LYDIG AVE,10462,2019,0,2.0
23197,50065528,101 WILSON BAR,BROOKLYN,101,WILSON AVE,11237,2018,0,1.0
23198,50065528,101 WILSON BAR,BROOKLYN,101,WILSON AVE,11237,2019,0,1.0
