,ID,RESTAURANT NAME,INSPECTION YEAR,NUMBER OF NON-CRITICAL VIOLATIONS,ADDRESS
169,40367241,JG MELON RESTAURANT,2018,2.0,1291 3 AVENUE MANHATTAN NY 10021
172,40367338,TAP ROOM,2018,2.0,180 CENTRAL PARK SOUTH MANHATTAN NY 10019
173,40367373,JACKSON HOLE,2018,1.5,232 EAST   64 STREET MANHATTAN NY 10065
174,40367377,ZUM STAMMTISCH,2018,3.0,6946 MYRTLE AVENUE QUEENS NY 11385
175,40367442,BUDDY'S WONDER BAR,2018,1.0,17 HARRISON AVENUE STATEN ISLAND NY 10302
176,40367534,MR BROADWAY KOSHER RESTAURANT,2018,1.0,1372 BROADWAY MANHATTAN NY 10018
178,40367540,PICCOLA VENEZIA,2018,2.0,4201 28 AVENUE QUEENS NY 11103
179,40367570,NI-NI'S CAFE,2018,1.0,710 NEW DORP LANE STATEN ISLAND NY 10306
181,40367715,LA BONNE SOUPE BISTRO,2018,2.0,48 WEST   55 STREET MANHATTAN NY 10019
183,40367728,MIMIS RESTAURANT & BAR,2018,3.0,984 SECOND AVENUE MANHATTAN NY 10022
184,40367752,GRIFFIS FACULTY CLUB,2018,2.0,521 EAST   68 STREET MANHATTAN NY 10065
185,40367766,GRAY'S PAPAYA,2018,1.0,2080 BROADWAY MANHATTAN NY 10023
187,40367789,DANI PIZZA AND RESTAURANT,2018,1.0,8128 LEFFERTS BOULEVARD QUEENS NY 11415
188,40367790,MCDONALD'S,2018,1.0,943 FLATBUSH AVENUE BROOKLYN NY 11226
189,40367829,MCDONALD'S,2018,1.0,7550 101 AVENUE QUEENS NY 11416
192,40367860,LB SPUMONI GARDENS,2018,2.0,2725 86 STREET BROOKLYN NY 11223
193,40367870,AMORE PIZZERIA & RESTAURANT,2018,1.0,3027 STRATTON STREET QUEENS NY 11354
195,40367946,THE LARK'S NEST,2018,1.0,4280 KATONAH AVE BRONX NY 10470
196,40368018,TERRACE CAFE,2018,2.0,2300 SOUTHERN BOULEVARD BRONX NY 10460
197,40368021,ZOO BREWS-BRONX ZOO,2018,1.0,2300 SOUTHERN BOULEVARD BRONX NY 10460
198,40368025,THE PECKING ORDER,2018,1.0,2300 SOUTHERN BOULEVARD BRONX NY 10460
